R	C	T	Si	Op_FF	Res_FF	St	Pt	SU	Info
1150	1150	2	1150	1.000000	1.000000	5.173750	9.085490	0.569452	Best result yet!
1100	1100	2	1100	1.000000	1.000000	4.469110	7.936087	0.563138	
1050	1050	2	1050	1.000000	1.000000	3.862581	6.444734	0.599339	Best result yet!
1000	1000	2	1000	1.000000	1.000000	3.309148	5.724466	0.578071	
950	950	2	950	1.000000	1.000000	2.806215	4.665237	0.601516	Best result yet!
900	900	2	900	1.000000	1.000000	2.379757	4.124827	0.576935	
850	850	2	850	1.000000	1.000000	2.006715	3.399041	0.590377	
800	800	2	800	1.000000	1.000000	1.665155	2.870632	0.580066	
750	750	2	750	1.000000	1.000000	1.351279	2.305758	0.586045	
700	700	2	700	1.000000	1.000000	1.095096	1.922446	0.569637	
650	650	2	650	1.000000	1.000000	0.870474	1.467911	0.593002	
600	600	2	600	1.000000	1.000000	0.670119	1.152221	0.581589	
550	550	2	550	1.000000	1.000000	0.508020	0.843670	0.602155	Best result yet!
500	500	2	500	1.000000	1.000000	0.379187	0.623162	0.608489	Best result yet!
450	450	2	450	1.000000	1.000000	0.274711	0.449135	0.611645	Best result yet!

1150	1150	2	1150	1.250000	1.000000	6.825467	10.939366	0.623936	Best result yet!
1100	1100	2	1100	1.250000	1.000000	5.625407	9.696105	0.580172	
1050	1050	2	1050	1.250000	1.000000	4.912722	7.864961	0.624634	Best result yet!
1000	1000	2	1000	1.250000	1.000000	4.168798	6.931094	0.601463	
950	950	2	950	1.250000	1.000000	3.498865	5.735201	0.610068	
900	900	2	900	1.250000	1.000000	2.973345	5.054655	0.588239	
850	850	2	850	1.250000	1.000000	2.518528	4.158664	0.605610	
800	800	2	800	1.250000	1.000000	2.080015	3.517760	0.591290	
750	750	2	750	1.250000	1.000000	1.689199	2.813668	0.600355	
700	700	2	700	1.250000	1.000000	1.369388	2.337141	0.585924	
650	650	2	650	1.250000	1.000000	1.101564	1.802369	0.611176	
600	600	2	600	1.250000	1.000000	0.862760	1.411133	0.611395	
550	550	2	550	1.250000	1.000000	0.651875	1.046984	0.622622	
500	500	2	500	1.250000	1.000000	0.481519	0.771959	0.623762	
450	450	2	450	1.250000	1.000000	0.346398	0.564277	0.613879	

1150	1150	2	1150	1.500000	1.000000	8.911601	13.387225	0.665679	Best result yet!
1100	1100	2	1100	1.500000	1.000000	6.775118	11.381328	0.595284	
1050	1050	2	1050	1.500000	1.000000	5.830284	9.454654	0.616658	
1000	1000	2	1000	1.500000	1.000000	4.987888	8.377479	0.595392	
